skills	frequency	median	mean	std
business setup	63	33.0	52.492063492063494	50.14619691490235
business strategy	398	40.0	50.12562814070352	42.52768304494375
business support	150	20.0	32.586666666666666	36.815189939627196
business to business (b2b)	50	29.5	38.92	38.274966508469866
business to business database (b2b database)	33	15.0	21.12121212121212	13.706197448046941
business to business marketing (b2b marketing)	30	24.5	34.233333333333334	29.946715130819218
business to business sales (b2b sales)	249	20.0	29.95983935742972	25.235631363147437
business to consumer (b2c)	1	35.0	35.0	
business to consumer database (b2c database)	6	30.5	34.166666666666664	17.92670261555835
business to consumer marketing (b2c marketing)	2	14.0	14.0	8.48528137423857
business to consumer sales (b2c sales)	68	20.0	27.352941176470587	22.604823620675774
business valuation	22	35.0	54.95454545454545	57.56112880914992
business writing	645	26.0	34.37674418604651	26.47832381855691
buzzstream	1	10.0	10.0	
cakephp	33	14.0	17.96969696969697	11.775198640800207
calendar management	7	16.0	14.428571428571429	4.7559486560567095
call center	62	13.5	18.580645161290324	11.256398380253614
call center management	5	10.0	11.4	2.1908902300206643
call distribution	1	23.0	23.0	
call handling	15	15.0	18.866666666666667	9.920157448827302
call marketing	96	20.0	28.041666666666668	51.49632928495546
calligraphy	2	31.0	31.0	21.213203435596427
campaign manager	32	24.0	31.6875	25.028290444627757
captcha	1	20.0	20.0	
career advice / career consultant	4	59.0	53.5	31.680698645494967
career coaching	4	62.0	66.25	13.671747023210555
caricature	2	26.0	26.0	19.79898987322333
cartography & maps	2	18.5	18.5	7.7781745930520225
cartoon & comics	8	14.0	21.0	14.432107063270916
cascading style sheets (css)	593	25.0	28.76222596964587	19.508551220230707
catalog design	3	40.0	30.0	17.320508075688775
catering	2	37.5	37.5	6.363961030678928
central reservation system	1	10.0	10.0	
certified public accountant (cpa)	2	11.0	11.0	1.4142135623730951
change management	5	50.0	71.8	73.3430296619931
chaos group v-ray	2	25.0	25.0	14.142135623730951
character animation	1	25.0	25.0	
character design	2	49.5	49.5	4.949747468305833
chat support	19	10.0	12.526315789473685	3.761920624312231
chemical engineering	3	10.0	10.666666666666666	1.1547005383792517
chemistry	6	16.5	30.0	27.09243436828813
chief financial officer (CFO)	5	21.0	24.8	21.51046257057249
children writing	14	29.5	33.42857142857143	16.080156360291667
childrens book illustration	1	40.0	40.0	
christian theology	1	86.0	86.0	
circuit design	1	10.0	10.0	
cisco asa	1	40.0	40.0	
cisco certified entry networking technician (ccent)	1	10.0	10.0	
cisco ios	1	40.0	40.0	
cisco router	2	25.0	25.0	21.213203435596427
civicrm	1	20.0	20.0	
civil 3d	2	36.5	36.5	4.949747468305833
civil engineering	27	30.0	33.81481481481482	23.244580902019752
classified posting	7	10.0	10.0	0.0
clipping path	5	15.0	14.6	0.8944271909999159
clothing industry	3	93.0	93.0	0.0
cloud computing	4	22.5	35.0	30.822070014844883
clustering	1	66.0	66.0	
cnc programming	1	38.0	38.0	
cocoa touch	1	30.0	30.0	
code igniter	97	14.0	17.711340206185568	10.37320141326377
cognos	3	25.0	24.0	9.539392014169456
cold calling	195	18.0	24.8	49.32080968558036
collection agency	3	10.0	10.0	0.0
color correction	1	10.0	10.0	
comedy writing	1	13.0	13.0	
comic art	1	24.0	24.0	
commercial contracts	7	79.0	79.71428571428571	32.99350585450762
commercial item transport and distribution	1	86.0	86.0	
commercial lending	1	99.0	99.0	
commercial management	6	56.0	56.833333333333336	28.554626011675705
commercial photography	1	46.0	46.0	
commissioning editor	1	33.0	33.0	
communications consultant	14	49.5	44.785714285714285	17.533171074055254
communications strategy	35	26.0	32.714285714285715	17.02864615628519
community management	100	20.0	28.24	20.87534914726463
company management	1	23.0	23.0	
company profile writing	35	26.0	33.142857142857146	22.676941978119352
competition analysis	85	26.0	32.305882352941175	25.62644817251067
compiler	6	10.0	10.166666666666666	1.4719601443879744
complaint management	6	20.0	22.166666666666668	11.822295321411435
computer analysis	1	26.0	26.0	
computer assembly	1	15.0	15.0	
computer engineering	1	10.0	10.0	
computer generated interface (cgi)	2	45.5	45.5	10.606601717798213
computer graphics	4	14.0	14.5	4.203173404306164
computer hardware design	6	18.0	28.5	28.71759042816789
computer hardware installation	1	15.0	15.0	
computer maintenance	1	20.0	20.0	
computer networking	3	10.0	16.666666666666668	11.547005383792515
computer operator	3	16.0	16.0	4.0
computer software	4	15.0	19.75	13.671747023210555
computer-aided design (cad)	35	30.0	29.457142857142856	14.074053843745187
concept art	4	23.0	34.0	24.166091947189145
concept generation	3	33.0	36.333333333333336	28.148416178061126
concrete5 content management system (concrete5 cms)	2	22.0	22.0	5.656854249492381
conference production	3	20.0	25.0	13.228756555322953
conflict resolution	1	10.0	10.0	
construction design	6	36.5	36.0	9.528903399657276
construction estimator	8	29.0	36.625	23.095686053583997
construction management	5	33.0	31.6	9.710818709048173
construction monitoring	3	26.0	26.333333333333332	6.506407098647712
consumer insight	1	40.0	40.0	
consumer protection	1	41.0	41.0	
contao content management system (contao cms)	1	29.0	29.0	
content development	17	25.0	26.11764705882353	14.598297644507973
content editing	86	20.0	26.325581395348838	21.321870495402333
content management	20	20.0	24.4	15.729288805149123
content management system (cms)	235	26.0	29.472340425531915	17.776938173481568
content marketing	173	21.0	35.54913294797688	59.488362765135896
content moderation	2	14.5	14.5	7.7781745930520225
content strategy	23	33.0	49.47826086956522	40.1835216851356
content writing	2294	20.0	27.407149084568438	20.742116054938844
continuous integration	1	15.0	15.0	
contract drafting	4	89.0	94.0	54.80875842417888
contract law	5	79.0	90.6	46.70438951533357
conversion optimization	165	36.0	42.67878787878788	29.92449601808588
conversion rate optimization	27	33.0	38.148148148148145	28.287947560895564
conversion tracking	35	35.0	35.714285714285715	20.954532611699786
cooking	4	17.5	17.0	5.715476066494082
copy editing	84	26.0	29.011904761904763	15.212149589172153
copy typing	318	16.0	19.81761006289308	14.207500283361886
copyscape	3	26.0	26.333333333333332	6.506407098647712
coreldraw	11	20.0	22.818181818181817	12.734348682348712
corona sdk	1	33.0	33.0	
corporate brand identity	6	36.5	37.0	19.05780679931455
corporate finance	29	27.0	45.89655172413793	50.05592931025554
corporate identity design	2	15.0	15.0	0.0
corporate law	2	135.5	135.5	41.71930009000631
corporate photography	1	46.0	46.0	
corporate strategy	2	51.5	51.5	2.1213203435596424
corporate tax	4	33.0	35.25	14.127396551853895
corporate training	4	63.0	66.25	27.657126869338157
cosmetics	3	50.0	51.0	41.50903516103452
cost accounting	11	20.0	26.09090909090909	17.637769391023035
cost management	4	43.0	50.0	35.317606562921746
counseling psychology	10	22.0	48.1	54.655385014755055
counselling	5	24.0	49.2	62.4955998451091
cover design	7	20.0	19.428571428571427	7.207800007795787
cover letter	10	25.5	23.8	11.525816432879905
cover letter writing	33	21.0	23.21212121212121	11.599454663252427
covers and packaging	1	10.0	10.0	
cpanel	16	17.0	19.25	13.969013327122761
creative consultant	5	29.0	42.6	31.659121908227334
creative director	2	49.5	49.5	23.33452377915607
creative professional	2	43.0	43.0	24.041630560342615
creative thinking	13	33.0	36.76923076923077	22.989685535597065
creative writing	905	25.0	27.939226519337016	19.771416568315992
credit control	16	23.0	25.0	9.973297682645729
credit management	1	100.0	100.0	
criminal law	1	12.0	12.0	
crm development	57	20.0	28.56140350877193	22.561042231386743
crowdfunding	10	21.5	29.5	21.53163047962488
cryptocurrency	27	20.0	26.22222222222222	23.92670431729325
crystal reports	3	40.0	52.333333333333336	41.88476254359494
cs cart	3	32.0	25.0	13.0
css flexbox	36	17.0	23.055555555555557	16.73993419417761
cubecart	1	50.0	50.0	
curriculum development	1	10.0	10.0	
